"player_page","player"
"/wiki/George_Wrenn","George Wrenn"
"/wiki/Nicolae_Mi%C8%99u_(tennis)","Nicolae Misu"
"/wiki/Max_Woosnam","Max Woosnam"
"/wiki/Max_Woosnam","M Woosnam"
"/wiki/Brian_Norton","B Norton"
"/wiki/Brian_Norton","Brian Norton"
"/wiki/Gerald_Patterson","G Patterson"
"/wiki/William_Laurentz","William Laurentz"
"/wiki/Noel_Turnbull","N Turnbull"
"/wiki/United_Kingdom","Harold King"
"/wiki/George_Dodd_(tennis)","George Dodd"
"/wiki/George_Dodd_(tennis)","G Dodd"
"/wiki/Pat_O%27Hara_Wood","P OHara Wood"
"/wiki/Sir_George_Thomas,_7th_Baronet","George  Thomas"
"/wiki/Watson_Washburn","W Washburn"
"/wiki/Watson_Washburn","Watson Washburn"
"/wiki/Chuck_Garland","C Garland"
"/wiki/Francis_Fisher","Frank Fisher"
"/wiki/Francis_Fisher","F Fisher"
"/wiki/John_Cecil_Masterman","John Cecil Masterman"
"/wiki/Ronald_Thomas_(tennis)","R Thomas"
"/wiki/Clarence_Griffin","Clarence Griffin"
"/wiki/Clarence_Griffin","C Griffin"
"/wiki/Willis_E._Davis","W Davis"
"/wiki/Willis_E._Davis","Willis Davis"
"/wiki/Bill_Tilden","Bill Tilden"
"/wiki/Zenzo_Shimizu","Zenzo Shimizu"
"/wiki/Randolph_Lycett","Randolph Lycett"
"/wiki/Cecil_Blackbeard","Cecil Blackbeard"
"/wiki/Erik_Tegner","Erik Tegner"
"/wiki/Erik_Tegner","E Tegner"
"/wiki/Jacques_Brugnon","J Brugnon"
"/wiki/Jacques_Brugnon","Jacques Brugnon"
"/wiki/William_Laurentz","W Laurentz"
"/wiki/United_Kingdom","WL Wei"
"/wiki/Augustos_Zerlendis","A Zerlendis"
"/wiki/Sune_Malmstr%C3%B6m","Sune Malmstrom"
"/wiki/Sune_Malmstr%C3%B6m","S Malmstrom"
"/wiki/Augustos_Zerlendis","Augustos Zerlendis"
"/wiki/Zenzo_Shimizu","Z Shimizu"
"/wiki/Henry_Mayes","H Mayes"
"/wiki/Randolph_Lycett","R Lycett"
"/wiki/Clark_Hopkins","Clark Hopkins"
"/wiki/Alain_Gerbault","Alain Gerbault"
"/wiki/Fred_Inman","Fred Inman"
"/wiki/Fred_Inman","F Inman"
"/wiki/Donald_Kingdon","Donald Kingdon"
"/wiki/Bill_Tilden","W Tilden"
"/wiki/Bill_Johnston_(tennis)","Bill Johnston"
"/wiki/Bill_Johnston_(tennis)","W Johnston"
"/wiki/Cecil_Blackbeard","C Blackbeard"
"/wiki/Carl-Erik_von_Braun","CarlErik von Braun"
"/wiki/Nicolae_Mi%C8%99u_(tennis)","N Misu"
"/wiki/John_Cecil_Masterman","JC Masterman"
"/wiki/Charles_Winslow","Charles Winslow"
"/wiki/Charles_Winslow","C Winslow"
"/wiki/Jack_Hillyard","J Hillyard"
"/wiki/Jack_Hillyard","Jack Hillyard"
"/wiki/Leslie_Godfree","L Godfree"
"/wiki/Leslie_Godfree","Leslie Godfree"
"/wiki/Manuel_Alonso_Areizaga","Manuel Alonso"
"/wiki/Cecil_Campbell_(tennis)","Cecil Campbell"
"/wiki/Francis_Hunter","Frank Hunter"
"/wiki/Brian_Gilbert_(tennis)","Brian Gilbert"
"/wiki/Jed_Jones","Jed Jones"
"/wiki/Cotah_Ramaswami","Cotah Ramaswami"
"/wiki/Manuel_Alonso_Areizaga","M Alonso"
"/wiki/A._Wallis_Myers","AW Myers"
"/wiki/Cecil_Campbell_(tennis)","C Campbell"
"/wiki/Alain_Gerbault","A Gerbault"
"/wiki/Francis_Hunter","F Hunter"
"/wiki/Mohammed_Sleem","M Sleem"
"/wiki/Mohammed_Sleem","Mohammed Sleem"
"/wiki/Denis_Browne_(surgeon)","Denis Browne"
"/wiki/Ernest_Black","E Black"
"/wiki/Patrick_Wheatley","Patrick Wheatley"
"/wiki/Patrick_Wheatley","P Wheatley"
"/wiki/Sydney_Jacob","S Jacob"
"/wiki/Humphrey_Sumner_Milford","HumphreyMilford"
"/wiki/Christiaan_van_Lennep","C van Lennep"
"/wiki/James_Anderson_(tennis)","James Anderson"
"/wiki/Jos%C3%A9_Mar%C3%ADa_Alonso","Jose Maria Alonso"
"/wiki/Jos%C3%A9_Mar%C3%ADa_Alonso","JM Alonso"
"/wiki/Uberto_De_Morpurgo","H de Morpurgo"
"/wiki/Uberto_De_Morpurgo","Uberto de Morpurgo"
"/wiki/George_Caner","G Caner"
"/wiki/George_Caner","George Caner"
"/wiki/Robert_Barbour_(cricketer)","Robert Barbour"
"/wiki/Amos_Wilder","A Wilder"
"/wiki/Amos_Wilder","Amos Wilder"
"/wiki/Carl-Erik_von_Braun","CE von Braun"
"/wiki/Victor_Cazalet","Victor Cazalet"
"/wiki/Harry_Lewis-Barclay","Harry LewisBarclay"
"/wiki/Harry_Lewis-Barclay","H LewisBarclay"
"/wiki/Brian_Gilbert_(tennis)","B Gilbert"
"/wiki/Syed_Mohammad_Hadi","Syed Mohammad Hadi"
"/wiki/Syed_Mohammad_Hadi","SM Hadi"
"/wiki/James_Anderson_(tennis)","J Anderson"
"/wiki/Henri_Cochet","H Cochet"
"/wiki/Jean_Washer","Jean Washer"
"/wiki/Henri_Cochet","Henri Cochet"
"/wiki/Cotah_Ramaswami","C Ramaswami"
"/wiki/Eduardo_Flaquer","Eduardo Flaquer"
"/wiki/Eduardo_Flaquer","E Flaquer"
"/wiki/Marcus_Wallenberg,_Jr.","M Wallenberg"
"/wiki/Marcus_Wallenberg,_Jr.","Marcus Wallenberg"
"/wiki/Charles_Kingsley_(tennis)","Charles Kingsley"
"/wiki/Charles_Kingsley_(tennis)","C Kingsley"
"/wiki/Ren%C3%A9_Lacoste","Rene Lacoste"
