"links","title","tournament","year","event"
"/wiki/1936_French_Championships_%E2%80%93_Men%27s_Singles","1936 French Championships – Men's Singles","French Open","1936","Men"
"/wiki/1936_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1936 Wimbledon Championships – Men's Singles","Wimbledon","1936","Men"
"/wiki/1936_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1936 U.S. National Championships – Men's Singles","US Open","1936","Men"
"/wiki/1937_Australian_Championships_%E2%80%93_Men%27s_Singles","1937 Australian Championships – Men's Singles","Australian Open","1937","Men"
"/wiki/1937_French_Championships_%E2%80%93_Men%27s_Singles","1937 French Championships – Men's Singles","French Open","1937","Men"
"/wiki/1937_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1937 Wimbledon Championships – Men's Singles","Wimbledon","1937","Men"
"/wiki/1937_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1937 U.S. National Championships – Men's Singles","US Open","1937","Men"
"/wiki/1938_Australian_Championships_%E2%80%93_Men%27s_Singles","1938 Australian Championships – Men's Singles","Australian Open","1938","Men"
"/wiki/1938_French_Championships_%E2%80%93_Men%27s_Singles","1938 French Championships – Men's Singles","French Open","1938","Men"
"/wiki/1938_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1938 Wimbledon Championships – Men's Singles","Wimbledon","1938","Men"
"/wiki/1938_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1938 U.S. National Championships – Men's Singles","US Open","1938","Men"
"/wiki/1939_Australian_Championships_%E2%80%93_Men%27s_Singles","1939 Australian Championships – Men's Singles","Australian Open","1939","Men"
"/wiki/1939_French_Championships_%E2%80%93_Men%27s_Singles","1939 French Championships – Men's Singles","French Open","1939","Men"
"/wiki/1939_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1939 Wimbledon Championships – Men's Singles","Wimbledon","1939","Men"
"/wiki/1939_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1939 U.S. National Championships – Men's Singles","US Open","1939","Men"
"/wiki/1940_Australian_Championships_%E2%80%93_Men%27s_Singles","1940 Australian Championships – Men's Singles","Australian Open","1940","Men"
"/wiki/1940_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1940 U.S. National Championships - Men's Singles","US Open","1940","Men"
"/wiki/1941_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1941 U.S. National Championships – Men's Singles","US Open","1941","Men"
"/wiki/1942_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1942 U.S. National Championships – Men's Singles","US Open","1942","Men"
"/wiki/1943_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1943 U.S. National Championships – Men's Singles","US Open","1943","Men"
"/wiki/1944_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1944 U.S. National Championships – Men's Singles","US Open","1944","Men"
"/wiki/1945_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1945 U.S. National Championships – Men's Singles","US Open","1945","Men"
"/wiki/1946_Australian_Championships_%E2%80%93_Men%27s_Singles","1946 Australian Championships – Men's Singles","Australian Open","1946","Men"
"/wiki/1946_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1946 Wimbledon Championships – Men's Singles","Wimbledon","1946","Men"
"/wiki/1946_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1946 U.S. National Championships – Men's Singles","US Open","1946","Men"
"/wiki/1947_Australian_Championships_%E2%80%93_Men%27s_Singles","1947 Australian Championships – Men's Singles","Australian Open","1947","Men"
"/wiki/1947_French_Championships_%E2%80%93_Men%27s_Singles","1947 French Championships – Men's Singles","French Open","1947","Men"
"/wiki/1947_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1947 Wimbledon Championships – Men's Singles","Wimbledon","1947","Men"
"/wiki/1947_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1947 U.S. National Championships – Men's Singles","US Open","1947","Men"
"/wiki/1948_Australian_Championships_%E2%80%93_Men%27s_Singles","1948 Australian Championships – Men's Singles","Australian Open","1948","Men"
"/wiki/1948_French_Championships_%E2%80%93_Men%27s_Singles","1948 French Championships – Men's Singles","French Open","1948","Men"
"/wiki/1948_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1948 Wimbledon Championships – Men's Singles","Wimbledon","1948","Men"
"/wiki/1948_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1948 U.S. National Championships – Men's Singles","US Open","1948","Men"
"/wiki/1949_Australian_Championships_%E2%80%93_Men%27s_Singles","1949 Australian Championships – Men's Singles","Australian Open","1949","Men"
"/wiki/1949_French_Championships_%E2%80%93_Men%27s_Singles","1949 French Championships – Men's Singles","French Open","1949","Men"
"/wiki/1949_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1949 Wimbledon Championships – Men's Singles","Wimbledon","1949","Men"
"/wiki/1949_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1949 U.S. National Championships – Men's Singles","US Open","1949","Men"
"/wiki/1950_Australian_Championships_%E2%80%93_Men%27s_Singles","1950 Australian Championships – Men's Singles","Australian Open","1950","Men"
"/wiki/1950_French_Championships_%E2%80%93_Men%27s_Singles","1950 French Championships – Men's Singles","French Open","1950","Men"
"/wiki/1950_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1950 Wimbledon Championships – Men's Singles","Wimbledon","1950","Men"
"/wiki/1950_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1950 U.S. National Championships – Men's Singles","US Open","1950","Men"
"/wiki/1951_Australian_Championships_%E2%80%93_Men%27s_Singles","1951 Australian Championships – Men's Singles","Australian Open","1951","Men"
"/wiki/1951_French_Championships_%E2%80%93_Men%27s_Singles","1951 French Championships – Men's Singles","French Open","1951","Men"
"/wiki/1951_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1951 Wimbledon Championships – Men's Singles","Wimbledon","1951","Men"
"/wiki/1951_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1951 U.S. National Championships – Men's Singles","US Open","1951","Men"
"/wiki/1952_Australian_Championships_%E2%80%93_Men%27s_Singles","1952 Australian Championships – Men's Singles","Australian Open","1952","Men"
"/wiki/1952_French_Championships_%E2%80%93_Men%27s_Singles","1952 French Championships – Men's Singles","French Open","1952","Men"
"/wiki/1952_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1952 Wimbledon Championships – Men's Singles","Wimbledon","1952","Men"
"/wiki/1952_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1952 U.S. National Championships – Men's Singles","US Open","1952","Men"
"/wiki/1953_Australian_Championships_%E2%80%93_Men%27s_Singles","1953 Australian Championships – Men's Singles","Australian Open","1953","Men"
"/wiki/1953_French_Championships_%E2%80%93_Men%27s_Singles","1953 French Championships – Men's Singles","French Open","1953","Men"
"/wiki/1953_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1953 Wimbledon Championships – Men's Singles","Wimbledon","1953","Men"
"/wiki/1953_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1953 U.S. National Championships – Men's Singles","US Open","1953","Men"
"/wiki/1954_Australian_Championships_%E2%80%93_Men%27s_Singles","1954 Australian Championships – Men's Singles","Australian Open","1954","Men"
"/wiki/1954_French_Championships_%E2%80%93_Men%27s_Singles","1954 French Championships – Men's Singles","French Open","1954","Men"
"/wiki/1954_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1954 Wimbledon Championships – Men's Singles","Wimbledon","1954","Men"
"/wiki/1954_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1954 U.S. National Championships – Men's Singles","US Open","1954","Men"
